"num","title","rating","votes"
1,"The Seinfeld Chronicles",7.9,1951
1.1,"The Stakeout",7.8,1416
1.2,"The Robbery",7.7,1248
1.3,"Male Unbonding",7.5,1250
1.4,"The Stock Tip",7.7,1179
2.1,"The Ex-Girlfriend",7.8,1141
2.2,"The Pony Remark",8.1,1213
2.3,"The Jacket",8.5,1194
2.4,"The Phone Message",8.6,1179
2.5,"The Apartment",8.1,1069
2.6,"The Statue",8.2,1073
2.7,"The Revenge",8.5,1078
2.8,"The Heart Attack",8.2,1085
2.9,"The Deal",8.4,1069
2.1,"The Baby Shower",7.8,1090
2.11,"The Chinese Restaurant",8.9,1402
2.12,"The Busboy",7.9,1082
3.1,"The Note",8.4,1084
3.2,"The Truth",8,999
3.3,"The Pen",8.5,1088
3.4,"The Dog",7.4,1044
3.5,"The Library",8.9,1299
3.6,"The Parking Garage",8.9,1275
3.7,"The Cafe",8.6,1018
3.8,"The Tape",8.8,1058
3.9,"The Nose Job",8.2,1020
3.1,"The Stranded",7.6,1059
3.11,"The Alternate Side",8.6,1011
3.12,"The Red Dot",8.6,1029
3.13,"The Subway",8.9,1109
3.14,"The Pez Dispenser",8.7,1048
3.15,"The Suicide",7.8,910
3.16,"The Fix Up",8.5,992
3.17,"The Boyfriend: Part 1",9,1150
3.18,"The Boyfriend: Part 2",8.9,1059
3.19,"The Limo",9,1248
3.2,"The Good Samaritan",8.1,931
3.21,"The Letter",8.1,915
3.22,"The Parking Space",8.5,970
3.23,"The Keys",8.7,943
4.1,"The Trip: Part 1",8.4,955
4.2,"The Trip: Part 2",8.6,951
4.3,"The Pitch",8.8,956
4.4,"The Ticket",8.6,882
4.5,"The Wallet",8.2,868
4.6,"The Watch",8.3,857
4.7,"The Bubble Boy",9,1229
4.8,"The Cheever Letters",8.7,954
4.9,"The Opera",8.5,935
4.1,"The Virgin",8.4,906
4.11,"The Contest",9.6,2600
4.12,"The Airport",9,1136
4.13,"The Pick",8.7,982
4.14,"The Movie",8.4,919
4.15,"The Visa",8.3,867
