"word","gram","X1.Good.News..Bad.News","X2.The.Stakeout","X3.The.Robbery","X4.Male.Unbonding","X5.The.Stock.Tip","X6.The.Ex.Girlfriend","X7.The.Pony.Remark","X8.The.Jacket","X9.The.Phone.Message","X10.The.Apartment","X11.The.Statue","X12.The.Revenge","X13.The.Heart.Attack","X14.The.Deal","X15.The.Baby.Shower","X16.The.Chinese.Restaurant","X17.The.Busboy","X18.The.Note","X19.The.Truth","X20.The.Pen","X21.The.Dog","X22.The.Library","X23.The.Parking.Garage","X24.The.Cafe","X25.The.Tape","X26.The.Nose.Job","X27.The.Stranded","X28.The.Alternate.Side","X29.The.Red.Dot","X30.The.Subway","X31.The.Pez.Dispenser","X32.The.Suicide","X33.The.Fix.Up","X34.The.Boyfriend.Part.1","X35.The.Boyfriend.Part.2","X36.The.Limo","X37.The.Good.Samaritan","X38.The.Letter","X39.The.Parking.Space","X40.The.Keys","X41.The.Trip.Part.1","X42.The.Trip.Part.2","X43.The.Pitch","X44.The.Ticket","X45.The.Wallet","X46.The.Watch","X47.The.Bubble.Boy","X48.The.Cheever.Letters","X49.The.Opera","X50.The.Virgin","X51.The.Contest","X52.The.Airport","X53.The.Pick","X54.The.Movie","X55.The.Visa","X56.The.Shoes","X57.The.Outing","X58.The.Old.Man","X59.The.Implant","X60.The.Junior.Mint","X61.The.Smelly.Car","X62.The.Handicap.Spot","X63.The.Pilot.Part.1","X64.The.Pilot.Part.2","X65.The.Mango","X66.The.Puffy.Shirt","X67.The.Glasses","X68.The.Sniffing.Accountant","X69.The.Bris","X70.The.Lip.Reader","X71.The.Non.Fat.Yogurt","X72.The.Barber","X73.The.Masseuse","X74.The.Cigar.Store.Indian","X75.The.Conversion","X76.The.Stall","X77.The.Dinner.Party","X78.The.Marine.Biologist","X79.The.Pie","X80.The.Stand.In","X81.The.Wife","X82.The.Raincoats.Part.1","X83.The.Raincoats.Part.2","X84.The.Fire","X85.The.Hamptons","X86.The.Opposite","X87.The.Chaperone","X88.The.Big.Salad","X89.The.Pledge.Drive","X90.The.Chinese.Woman","X91.The.Couch","X92.The.Gymnast","X93.The.Mom.And.Pop.Store","X94.The.Soup","X95.The.Secretary","X96.The.Switch","X97.The.Label.Maker","X98.The.Race","X99.The.Scofflaw","X100.The.Kiss.Hello","X101.The.Beard","X102.The.Doorman","X103.The.Jimmy","X104.The.Doodle","X105.The.Fusilli.Jerry","X106.The.Diplomat.s.Club","X107.The.Understudy","X108.The.Face.Painter","X109.The.Engagement","X110.The.Postponement","X111.The.Maestro","X112.The.Wink","X113.The.Hot.Tub","X114.The.Soup.Nazi","X115.The.Secret.Code","X116.The.Pool.Guy","X117.The.Sponge","X118.The.Gum","X119.The.Rye","X120.The.Caddy","X121.The.Seven","X122.The.Cadillac.Part.1","X123.The.Cadillac.Part.2","X124.The.Shower.Head","X125.The.Doll","X126.The.Friars.Club","X127.The.Wig.Master","X128.The.Calzone","X129.The.Bottle.Deposit.Part.1","X130.The.Bottle.Deposit.Part.2","X131.The.Wait.Out","X132.The.Invitations","X133.The.Foundation","X134.The.Soul.Mate","X135.The.Bizarro.Jerry","X136.The.Little.Kicks","X137.The.Package","X138.The.Fatigues","X139.The.Checks","X140.The.Chicken.Roaster","X141.The.Abstinence","X142.The.Andrea.Doria","X143.The.Little.Jerry","X144.The.Money","X145.The.Comeback","X146.The.Van.Buren.Boys","X147.The.Susie","X148.The.Pothole","X149.The.English.Patient","X150.The.Nap","X151.The.Yada.Yada","X152.The.Millennium","X153.The.Muffin.Tops","X154.The.Summer.of.George","X155.The.Butter.Shave","X156.The.Voice","X157.The.Serenity.Now","X158.The.Blood","X159.The.Junk.Mail","X160.The.Merv.Griffin.Show","X161.The.Slicer","X162.The.Betrayal","X163.The.Apology","X164.The.Strike","X165.The.Dealership","X166.The.Reverse.Peephole","X167.The.Cartoon","X168.The.Strong.Box","X169.The.Wizard","X170.The.Burning","X171.The.Bookstore","X172.The.Frogger","X173.The.Maid","X174.The.Puerto.Rican.Day","X175.The.Finale.Part.1","X176.The.Finale.Part.2","sum"
"aah",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,26
"able",1,0,1,0,0,1,0,0,1,0,1,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,2,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,79
"absolutely",1,1,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50
"accept",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16
"accident",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,41
"according",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14
"across",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,35
"act",1,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,2,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,57
"acting",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
"actually",1,3,0,0,1,1,1,3,0,1,1,1,0,2,0,3,1,1,2,0,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,1,0,1,2,2,0,0,2,1,0,0,2,1,0,1,0,2,0,2,0,1,1,2,1,2,0,1,0,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,2,1,2,0,2,2,3,0,1,0,0,0,0,1,1,0,0,3,2,1,1,0,1,0,0,0,3,0,0,4,1,0,0,4,4,3,2,4,0,0,2,0,1,2,2,0,1,1,0,0,0,1,1,0,2,3,2,0,4,0,2,1,3,1,3,1,4,1,2,2,0,3,2,0,1,0,3,0,2,2,1,1,2,1,2,2,1,2,2,0,1,0,3,2,2,191
"address",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"admit",1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23
"adult",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"advantage",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
