"word","ELAINE","FRANK","GEORGE","JERRY","KRAMER","NEWMAN","OTHER","gram","sum"
"aaaaaahhh",1,0,0,1,0,0,0,1,2
"aaaaah",0,0,0,1,1,0,0,1,2
"aaah",1,0,0,1,0,3,0,1,5
"aagh",0,0,0,1,2,0,0,1,3
"aah",7,1,4,5,6,0,3,1,26
"aahh",3,0,0,1,0,1,0,1,5
"aaron",10,0,0,2,1,0,6,1,19
"abandon",0,0,1,0,0,0,1,1,2
"abbott",0,0,1,2,0,0,2,1,5
"abby",0,0,2,0,0,0,1,1,3
"abducted",0,0,1,1,0,0,1,1,3
"abilities",0,0,0,1,1,0,0,1,2
"ability",0,0,0,2,1,0,1,1,4
"able",4,1,15,24,12,0,23,1,79
"abnormal",3,0,1,1,0,0,0,1,5
"aboard",0,0,1,2,1,0,2,1,6
"abortion",1,0,0,3,0,0,1,1,5
"absolute",1,0,1,0,1,0,1,1,4
"absolutely",7,1,16,20,1,0,5,1,50
"absurd",1,0,0,1,0,0,0,1,2
"academy",0,0,0,2,1,0,0,1,3
"accent",0,0,2,3,0,0,1,1,6
"accept",1,1,5,4,2,1,2,1,16
"acceptable",0,0,1,0,0,0,1,1,2
"access",1,0,2,1,0,0,0,1,4
"accident",9,0,5,11,7,0,9,1,41
"accidentally",1,0,1,1,0,0,0,1,3
"accompanied",1,0,0,1,0,0,0,1,2
"accomplished",0,0,1,2,1,0,0,1,4
"according",1,0,1,5,2,0,5,1,14
"account",1,0,1,2,2,0,7,1,13
"accountable",0,0,0,0,4,0,1,1,5
"accountant",0,0,0,1,0,0,2,1,3
"accounting",2,0,1,0,0,0,1,1,4
"accused",1,0,1,1,1,0,1,1,5
"accusing",1,0,0,0,0,0,1,1,2
"ach",5,0,0,0,0,0,4,1,9
"acid",0,0,1,0,1,0,0,1,2
"acidosis",1,0,0,0,0,0,1,1,2
"acquaintance",0,0,0,1,0,0,1,1,2
"across",9,0,4,9,10,1,2,1,35
"act",7,0,2,22,5,1,20,1,57
"acted",0,0,1,1,0,0,0,1,2
"acting",4,0,2,10,4,0,5,1,25
"action",0,0,1,4,1,0,0,1,6
"activities",0,0,0,1,0,0,1,1,2
"activity",0,0,0,5,1,0,0,1,6
"actor",1,0,1,3,2,0,3,1,10
"actors",1,0,1,0,2,0,2,1,6
"actress",0,0,3,5,0,0,0,1,8
"acts",0,0,0,1,1,0,0,1,2
"actual",0,0,2,2,0,0,2,1,6
"actually",36,0,36,66,10,0,43,1,191
"adam",4,0,1,0,0,0,3,1,8
"add",1,0,2,1,4,0,0,1,8
"addict",3,0,0,0,1,0,0,1,4
"addicted",1,0,1,0,1,0,0,1,3
"addition",1,0,1,0,0,1,0,1,3
"address",5,0,1,4,0,0,14,1,24
"addresses",0,0,0,2,1,0,0,1,3
"ade",0,0,5,0,0,0,2,1,7
"adenoids",0,0,1,0,0,0,1,1,2
"adjacent",0,0,0,1,0,0,1,1,2
"adjust",0,0,0,1,0,0,1,1,2
