Name,Freq,Gender,Type
JERRY,14894,M,Jerry
GEORGE,9808,M,George
ELAINE,8132,F,Elaine
KRAMER,6725,M,Kramer
NEWMAN,661,M,Secondary
MORTY,579,M,Secondary
HELEN,509,F,Secondary
FRANK,454,M,Secondary
SUSAN,414,F,Secondary
ESTELLE,279,F,Secondary
PETERMAN,188,M,Secondary
THE END,175,NA,Secondary
WOMAN,157,F,Secondary
PUDDY,153,M,Secondary
MAN,151,M,Secondary
JACK,144,M,Secondary
STEINBRENNER,97,M,Secondary
MICKEY,96,M,Secondary
CLERK,91,NA,Secondary
DOCTOR,91,NA,Secondary
LEO,81,M,Secondary
TIM,80,M,Secondary
KEN,76,M,Secondary
JACKIE,75,F,Secondary
WILHELM,73,M,Secondary
LLOYD,71,M,Secondary
CARRIE,69,F,Secondary
CHRISTIE,68,F,Secondary
RUSSELL,67,M,Secondary
AUDREY,66,F,Secondary
DONNA,66,F,Secondary
HOYT,65,M,Secondary
LIPPMAN,65,M,Secondary
MIKE,65,M,Secondary
WAITRESS,65,F,Secondary
JOEL,64,M,Secondary
SOUP NAZI,62,M,Secondary
UNCLE LEO,62,M,Secondary
JANE,61,F,Secondary
NINA,61,F,Secondary
RACHEL,61,F,Secondary
RAY,59,M,Secondary
BABU,55,M,Secondary
BOB,55,M,Secondary
CAROL,54,F,Secondary
KEITH,53,M,Secondary
GUY,52,M,Secondary
MR. ROSS,52,M,Secondary
SHEILA,52,F,Secondary
MARLA,49,F,Secondary
TONY,49,M,Secondary
BANIA,48,M,Secondary
JAKE,48,M,Secondary
RUDY,48,M,Secondary
MR. PITT,47,M,Secondary
MRS. ROSS,46,F,Secondary
KRUGER,45,M,Secondary
MERYL,45,F,Secondary
ATTENDANT,44,NA,Secondary
IZZY,44,M,Secondary
KEVIN,44,M,Secondary
AARON,43,M,Secondary
COP,43,NA,Secondary
SALLY,43,F,Secondary
MANAGER,42,NA,Secondary
POPPIE,42,M,Secondary
SID,42,M,Secondary
STEVE,42,M,Secondary
VANESSA,42,F,Secondary
CYNTHIA,40,F,Secondary
KATIE,40,F,Secondary
SUE ELLEN,40,F,Secondary
GINA,39,F,Secondary
MAESTRO,39,M,Secondary
JODI,38,F,Secondary
MICHAEL,38,M,Secondary
CRAIG,37,M,Secondary
CARL,36,M,Secondary
SIDRA,36,F,Secondary
DRIVER,35,NA,Secondary
WENDY,35,F,Secondary
FRED,34,M,Secondary
TOBY,34,M,Secondary
BEN,33,M,Secondary
BRETT,33,M,Secondary
JIMMY,33,M,Secondary
CHERYL,32,F,Secondary
RABBI,32,M,Secondary
RICK,32,M,Secondary
WILLIE,32,M,Secondary
AMY,31,F,Secondary
DANA,31,F,Secondary
DAVID,31,M,Secondary
KAREN,31,F,Secondary
SALESMAN,31,M,Secondary
WYCK,31,M,Secondary
ALTON,30,M,Secondary
DEENA,30,F,Secondary
GWEN,30,F,Secondary
LEVITAN,30,M,Secondary
SECURITY GUARD,30,NA,Secondary
TINA,30,F,Secondary
ALLISON,29,F,Secondary
DARRYL,29,M,Secondary
JENNA,29,F,Secondary
MONICA,29,F,Secondary
RECEPTIONIST,29,NA,Secondary
SECRETARY,29,NA,Secondary
STU,29,M,Secondary
TODD,29,M,Secondary
VOICE,29,NA,Secondary
GARY,28,M,Secondary
KURT,28,M,Secondary
MR. LIPPMAN,28,M,Secondary
REGIS,28,M,Secondary
ROBIN,28,F,Secondary
ROY,28,M,Secondary
SANDI,28,F,Secondary
STAN,28,M,Secondary
VIVIAN,28,F,Secondary
ABBY,27,F,Secondary
DOORMAN,27,M,Secondary
HOLLY,27,F,Secondary
JOE,27,M,Secondary
MRS. SOKOL,27,F,Secondary
SILVIO,27,M,Secondary
SUSANAOMI,27,F,Secondary
BONNIE,26,F,Secondary
DANIELLE,26,F,Secondary
ENZO,26,M,Secondary
EVELYN,26,F,Secondary
JOE DIVOLA,26,M,Secondary
JULIE,26,F,Secondary
LAURA,26,F,Secondary
LT. MARTEL,26,M,Secondary
PATTY,26,F,Secondary
TIA,26,F,Secondary
ANNA,25,F,Secondary
BRUCE,25,M,Secondary
GAIL,25,F,Secondary
PAULA,25,F,Secondary
RULA,25,F,Secondary
WORKER,25,NA,Secondary
CELIA,24,F,Secondary
EARL,24,M,Secondary
GREG,24,M,Secondary
HAL,24,M,Secondary
KATHY LEE,24,F,Secondary
LANETTE,24,F,Secondary
LISI,24,F,Secondary
LOIS,24,F,Secondary
MR. STEINBRENNER,24,M,Secondary
NOEL,24,M,Secondary
PHIL,24,M,Secondary
RAMON,24,M,Secondary
CONRAD,23,M,Secondary
DONALD,23,M,Secondary
LENA,23,F,Secondary
LOU,23,M,Secondary
MOM,23,F,Secondary
PATRICE,23,F,Secondary
RAYMOND,23,M,Secondary
RITA,23,F,Secondary
TOM,23,M,Secondary
WINONA,23,F,Secondary
AGENT,22,NA,Secondary
ALL,22,NA,Secondary
BOOKMAN,22,M,Secondary
BRODY,22,M,Secondary
BUCKLES,22,M,Secondary
CASTING DIRECTOR,22,NA,Secondary
DETECTIVE,22,NA,Secondary
HANKE,22,M,Secondary
RAVA,22,F,Secondary
USHER,22,NA,Secondary
ALEC,21,M,Secondary
CHILES,21,M,Secondary
ED,21,M,Secondary
GUARD,21,NA,Secondary
MEL,21,F,Secondary
MELISSA,21,F,Secondary
NAOMI,21,F,Secondary
CINDY,20,F,Secondary
FARKUS,20,M,Secondary
NURSE,20,NA,Secondary
PAM,20,F,Secondary
RICKY,20,M,Secondary
SETH,20,M,Secondary
