"JERRY","GEORGE","KRAMER","ELAINE","MORTY","HELEN","NEWMAN","SUSAN","ESTELLE","FRANK","All.others","word"
1,0,0,1,0,0,3,0,0,0,0,"aaah"
5,4,6,7,1,0,0,0,0,1,2,"aah"
1,0,0,3,0,0,1,0,0,0,0,"aahh"
2,0,1,12,0,9,0,0,0,0,5,"aaron"
1,1,0,0,0,0,0,0,0,0,1,"aback"
2,1,1,0,0,0,0,0,0,0,2,"abbott"
1,1,0,0,0,0,0,0,0,0,1,"abducted"
2,0,1,0,0,0,0,0,0,0,1,"ability"
24,15,12,4,2,1,0,1,0,1,19,"able"
0,1,1,0,0,0,0,0,0,0,1,"able find"
5,2,2,1,0,1,0,0,0,0,5,"able get"
1,0,1,1,0,0,0,0,0,0,0,"able live"
1,1,0,3,0,0,0,0,0,0,0,"abnormal"
2,1,1,0,0,0,0,0,0,0,2,"aboard"
3,0,0,1,0,0,0,0,0,0,1,"abortion"
0,1,1,1,0,0,0,0,0,0,1,"absolute"
20,16,1,7,0,0,0,0,1,1,4,"absolutely"
1,1,0,0,0,0,0,0,0,0,1,"absolutely nothing"
7,5,1,0,0,0,0,0,0,0,6,"accent"
5,5,2,1,0,0,1,0,0,1,2,"accept"
1,2,0,1,0,0,0,0,0,0,0,"access"
11,5,7,9,0,0,0,0,0,0,9,"accident"
1,2,1,1,0,0,0,0,0,0,1,"accidentally"
2,1,1,0,0,0,0,0,0,0,0,"accomplished"
5,1,2,1,0,0,0,0,0,0,5,"according"
2,1,2,1,0,1,0,0,0,0,6,"account"
0,1,0,2,0,0,0,0,0,0,1,"accounting"
1,1,1,1,0,0,0,0,0,0,1,"accused"
1,0,0,2,0,1,0,0,0,0,5,"accusing"
2,1,0,1,0,0,0,0,0,1,1,"accusingly"
0,0,0,5,1,0,0,0,0,0,3,"ach"
11,4,12,9,0,0,1,0,0,0,3,"across"
1,1,0,0,0,0,0,0,0,0,1,"across room"
3,2,4,4,0,0,0,0,0,0,0,"across street"
22,2,7,7,0,1,1,0,0,0,20,"act"
4,0,1,3,0,0,0,0,0,0,0,"act like"
13,4,6,5,0,1,0,0,0,0,5,"acting"
4,2,1,0,0,0,0,0,0,0,0,"action"
3,1,2,1,0,0,0,0,0,0,3,"actor"
0,1,2,1,0,0,0,0,0,0,2,"actors"
5,3,1,1,0,0,0,0,0,0,2,"acts"
5,0,0,1,0,0,0,0,0,0,1,"acts like"
2,2,0,0,0,0,0,0,0,0,2,"actual"
67,36,10,36,0,1,0,0,0,0,42,"actually"
2,3,0,1,0,0,0,0,0,0,3,"actually im"
0,0,1,0,0,1,0,0,0,0,2,"actually jerry"
2,1,0,2,0,0,0,0,0,0,1,"actually kind"
2,1,0,1,0,0,0,0,0,0,0,"actually met"
1,2,0,0,0,0,0,0,0,0,1,"actually think"
0,1,1,0,0,0,0,0,0,0,1,"actually uh"
0,1,0,4,0,0,0,0,0,0,3,"adam"
2,7,0,1,0,0,0,0,0,0,2,"adamant"
1,2,4,1,0,0,0,0,0,0,0,"add"
3,1,2,2,0,0,0,0,0,0,1,"adding"
0,1,0,1,0,0,1,0,0,0,0,"addition"
4,1,0,6,2,0,0,1,0,0,11,"address"
2,2,2,0,0,0,0,0,0,1,0,"addresses"
1,1,0,0,0,0,0,0,0,0,1,"adjusts"
1,0,0,1,0,0,0,0,0,0,1,"administration"
5,1,0,3,0,0,0,0,0,2,0,"admire"
5,1,1,1,0,0,0,0,0,0,0,"admiring"
10,0,0,5,0,0,2,0,0,0,6,"admit"
0,1,1,0,0,1,0,0,0,0,0,"admonishing"
0,0,1,2,0,0,0,0,0,0,3,"adoption"
1,2,0,0,0,0,0,0,0,0,1,"ads"
4,3,2,1,0,0,0,0,0,0,2,"adult"
2,1,0,0,0,0,0,0,0,0,1,"adultery"
3,2,0,4,0,0,0,0,0,0,0,"adults"
1,0,1,1,0,0,0,0,0,0,0,"advance"
1,1,0,0,0,0,0,0,0,0,1,"advances"
5,3,0,2,0,0,0,0,0,0,1,"advantage"
2,2,1,1,0,0,0,0,1,0,1,"advice"
1,1,2,1,0,0,0,0,0,0,0,"advise"
2,5,0,1,0,0,1,2,0,2,4,"affair"
0,0,3,1,0,0,0,0,0,0,2,"affairs"
2,2,1,0,0,0,0,0,0,0,0,"affect"
3,4,2,2,1,0,3,0,0,0,4,"afford"
14,9,7,5,1,2,0,0,0,0,34,"afraid"
1,1,0,0,0,0,0,0,0,0,1,"afraid going"
2,3,0,0,0,0,0,0,0,0,4,"afraid im"
2,1,0,0,0,0,0,0,0,0,1,"afraid im going"
0,0,1,1,0,0,0,0,0,0,1,"african"
8,6,4,9,3,2,4,0,0,0,11,"afternoon"
1,2,0,1,0,0,0,0,0,0,2,"afterwards"
7,4,2,1,0,0,0,0,0,2,4,"age"
3,1,0,1,0,0,0,0,0,0,5,"agency"
3,0,1,0,0,0,0,0,0,0,7,"agent"
0,2,0,1,0,0,0,0,0,0,1,"aggravated"
1,3,1,0,0,0,0,0,0,0,0,"agitated"
22,19,19,12,1,0,1,0,0,3,27,"ago"
1,0,1,0,0,0,0,0,0,0,1,"ago just"
1,1,0,1,0,0,0,0,0,0,0,"ago remember"
1,0,0,1,0,0,0,0,0,0,1,"ago shes"
1,3,1,2,1,0,0,0,0,0,3,"agree"
3,5,2,2,0,0,0,0,0,0,0,"agreed"
3,0,0,2,0,0,0,0,0,0,3,"agreeing"
2,4,0,1,0,0,0,1,0,1,2,"agreement"
2,3,4,0,0,0,0,0,0,0,7,"ah ah"
1,4,0,1,0,0,0,0,0,0,0,"ah alright"
1,1,0,0,0,0,0,0,0,0,1,"ah cmon"
2,3,0,0,0,0,0,0,0,0,2,"ah come"
3,0,2,3,0,0,1,1,0,0,2,"ah dont"
1,0,0,1,0,0,0,0,0,0,1,"ah dont know"
1,0,0,0,0,0,1,0,0,0,1,"ah dont worry"
