"gender","episode","num","word.count","Share"
"F","Good News, Bad News",1,314,0.0853029068187992
"M","Good News, Bad News",1,3367,0.914697093181201
"F","The Stakeout",2,740,0.319378506689685
"M","The Stakeout",2,1577,0.680621493310315
"F","The Robbery",3,429,0.24169014084507
"M","The Robbery",3,1346,0.75830985915493
"F","Male Unbonding",4,230,0.0891472868217054
"M","Male Unbonding",4,2350,0.910852713178295
"F","The Stock Tip",5,465,0.18459706232632
"M","The Stock Tip",5,2054,0.81540293767368
"F","The Ex-Girlfriend",6,529,0.213306451612903
"M","The Ex-Girlfriend",6,1951,0.786693548387097
"F","The Pony Remark",7,679,0.260852862082213
"M","The Pony Remark",7,1924,0.739147137917787
"F","The Jacket",8,350,0.148556876061121
"M","The Jacket",8,2006,0.851443123938879
"F","The Phone Message",9,463,0.243940990516333
"M","The Phone Message",9,1435,0.756059009483667
"F","The Apartment",10,662,0.230100799443865
"M","The Apartment",10,2215,0.769899200556135
"F","The Statue",11,555,0.163765122455001
"M","The Statue",11,2834,0.836234877544998
"F","The Revenge",12,235,0.129619415333701
"M","The Revenge",12,1578,0.870380584666299
"F","The Heart Attack",13,418,0.21121778676099
"M","The Heart Attack",13,1561,0.78878221323901
"F","The Deal",14,490,0.186595582635187
"M","The Deal",14,2136,0.813404417364813
"F","The Baby Shower",15,643,0.25087787748732
"M","The Baby Shower",15,1920,0.74912212251268
"F","The Chinese Restaurant",16,599,0.308762886597938
"M","The Chinese Restaurant",16,1341,0.691237113402062
"F","The Busboy",17,689,0.283889575607746
"M","The Busboy",17,1738,0.716110424392254
"F","The Note",18,304,0.152917505030181
"M","The Note",18,1684,0.847082494969819
"F","The Truth",19,534,0.27928870292887
"M","The Truth",19,1378,0.72071129707113
"F","The Pen",20,1177,0.337056128293242
"M","The Pen",20,2315,0.662943871706758
"F","The Dog",21,509,0.277686852154937
"M","The Dog",21,1324,0.722313147845063
"F","The Library",22,256,0.166775244299674
"M","The Library",22,1279,0.833224755700326
"F","The Parking Garage",23,640,0.24015009380863
"M","The Parking Garage",23,2025,0.75984990619137
"F","The Cafe",24,570,0.230769230769231
"M","The Cafe",24,1900,0.769230769230769
"F","The Tape",25,387,0.156934306569343
"M","The Tape",25,2079,0.843065693430657
"F","The Nose Job",26,537,0.337948395217118
"M","The Nose Job",26,1052,0.662051604782882
"F","The Stranded",27,454,0.209893666204346
"M","The Stranded",27,1709,0.790106333795654
"F","The Alternate Side",28,459,0.207974626189397
"M","The Alternate Side",28,1748,0.792025373810603
"F","The Red Dot",29,685,0.239343116701607
"M","The Red Dot",29,2177,0.760656883298393
"F","The Subway",30,317,0.287658802177858
"M","The Subway",30,785,0.712341197822142
"F","The Pez Dispenser",31,316,0.138901098901099
"M","The Pez Dispenser",31,1959,0.861098901098901
"F","The Suicide",32,731,0.256581256581257
"M","The Suicide",32,2118,0.743418743418743
"F","The Fix-Up",33,751,0.368137254901961
"M","The Fix-Up",33,1289,0.631862745098039
"F","The Boyfriend Part 1",34,336,0.150537634408602
"M","The Boyfriend Part 1",34,1896,0.849462365591398
"F","The Boyfriend Part 2",35,484,0.260916442048517
"M","The Boyfriend Part 2",35,1371,0.739083557951483
"F","The Limo",36,307,0.167029379760609
"M","The Limo",36,1531,0.832970620239391
"F","The Good Samaritan",37,735,0.340120314669135
"M","The Good Samaritan",37,1426,0.659879685330865
"F","The Letter",38,681,0.326149425287356
"M","The Letter",38,1407,0.673850574712644
"F","The Parking Space",39,571,0.206959043131569
"M","The Parking Space",39,2188,0.793040956868431
"F","The Keys",40,448,0.170992366412214
"M","The Keys",40,2172,0.829007633587786
"F","The Trip Part 1",41,241,0.137400228050171
"M","The Trip Part 1",41,1513,0.862599771949829
"F","The Trip Part 2",42,9,0.00407608695652174
"M","The Trip Part 2",42,2199,0.995923913043478
"F","The Pitch",43,37,0.0126886145404664
"M","The Pitch",43,2879,0.987311385459534
"F","The Ticket",44,53,0.0182318541451668
"M","The Ticket",44,2854,0.981768145854833
"F","The Wallet",45,709,0.234612839179351
"M","The Wallet",45,2313,0.765387160820649
"F","The Watch",46,555,0.242888402625821
"M","The Watch",46,1730,0.757111597374179
"F","The Bubble Boy",47,924,0.352941176470588
"M","The Bubble Boy",47,1694,0.647058823529412
"F","The Cheever Letters",48,714,0.214607754733995
